# 値段(円), OS(MacかWindows), CPU(クロック周波数), メモリ(GB), HDD容量(GB), SSD容量(GB)
#
40054, Windows, 2.16, 4.0, 750.0, 0.0
51980, Windows, 1.9, 4.0, 500.0, 0.0
42984, Windows, 1.5, 4.0, 500.0, 0.0
128878, Mac, 2.4, 8.0, 0.0, 256.0
81644, Mac, 1.4, 4.0, 0.0, 128.0
62618, Windows, 2.4, 4.0, 500.0, 0.0
64980, Windows, 2.4, 4.0, 500.0, 0.0
129083, Windows, 2.4, 8.0, 1000.0, 0.0
89260, Mac, 1.4, 4.0, 0.0, 128.0
39980, Windows, 1.9, 4.0, 500.0, 0.0
152700, Windows, 2.4, 8.0, 3000.0, 0.0
59800, Windows, 2.5, 4.0, 500.0, 0.0
55800, Windows, 2.16, 4.0, 500.0, 0.0
91000, Windows, 1.7, 4.0, 1000.0, 0.0
39789, Windows, 1.86, 2.0, 500.0, 0.0
117157, Windows, 2.4, 8.0, 1000.0, 0.0
54979, Windows, 1.9, 4.0, 1000.0, 0.0
129156, Windows, 2.2, 8.0, 1000.0, 0.0
39800, Windows, 1.9, 4.0, 320.0, 0.0
121800, Windows, 2.2, 8.0, 1000.0, 0.0
221220, Mac, 2.3, 16.0, 0.0, 512.0
42800, Windows, 1.9, 4.0, 500.0, 0.0
154500, Mac, 2.6, 8.0, 0.0, 512.0
99004, Mac, 2.5, 4.0, 500.0, 0.0
97623, Mac, 1.4, 4.0, 0.0, 256.0
68594, Mac, 2.3, 4.0, 1000.0, 0.0
161081, Mac, 3.2, 8.0, 1000.0, 0.0
226600, Mac, 2.6, 8.0, 0.0, 512.0
176000, Mac, 2.4, 4.0, 750.0, 0.0
61560, Windows, 2.5, 4.0, 500.0, 0.0
197638, Windows, 2.4, 8.0, 1000.0, 0.0
103862, Windows, 1.6, 8.0, 500.0, 0.0
73799, Windows, 2.13, 4.0, 500.0, 0.0
47897, Windows, 2.16, 4.0, 500.0, 0.0
125236, Windows, 1.6, 4.0, 500.0, 0.0
97298, Windows, 2.4, 4.0, 750.0, 0.0
49799, Windows, 1.9, 4.0, 500.0, 0.0
138872, Windows, 1.7, 4.0, 0.0, 128.0
107867, Windows, 1.6, 8.0, 1000.0, 0.0
86172, Windows, 2.166, 4.0, 500.0, 0.0
107341, Mac, 1.4, 4.0, 0.0, 256.0
170569, Mac, 2.0, 8.0, 0.0, 256.0
79743, Mac, 1.3, 4.0, 0.0, 128.0
218999, Mac, 2.7, 8.0, 0.0, 512.0
